Date,AAPL US Equity
8/11/2013,60.54
8/12/2013,62.2598
8/13/2013,65.2185
8/14/2013,66.4081
8/15/2013,66.3295
8/16/2013,66.9183
8/17/2013,66.9183
8/18/2013,66.9183
8/19/2013,67.639
8/20/2013,66.7505
8/21/2013,66.9223
8/22/2013,67.0023
8/23/2013,66.7438
8/24/2013,66.7438
8/25/2013,66.7438
8/26/2013,67.0036
8/27/2013,65.0879
8/28/2013,65.3951
8/29/2013,65.5022
8/30/2013,64.9049
8/31/2013,64.9049
9/1/2013,64.9049
9/2/2013,64.9049
9/3/2013,65.0866
9/4/2013,66.4336
9/5/2013,65.9778
9/6/2013,66.3708
9/7/2013,66.3708
9/8/2013,66.3708
9/9/2013,67.4299
9/10/2013,65.8939
9/11/2013,62.3064
9/12/2013,62.9698
9/13/2013,61.9321
9/14/2013,61.9321
9/15/2013,61.9321
9/16/2013,59.9631
9/17/2013,60.6559
9/18/2013,61.9028
9/19/2013,62.9179
9/20/2013,62.2664
9/21/2013,62.2664
9/22/2013,62.2664
9/23/2013,65.361
9/24/2013,65.1559
9/25/2013,64.1474
9/26/2013,64.7722
9/27/2013,64.31
9/28/2013,64.31
9/29/2013,64.31
9/30/2013,63.5107
10/1/2013,65.004
10/2/2013,65.2172
10/3/2013,64.3979
10/4/2013,64.3473
10/5/2013,64.3473
10/6/2013,64.3473
10/7/2013,64.976
10/8/2013,64.0688
10/9/2013,64.8212
10/10/2013,65.2276
10/11/2013,65.6504
10/12/2013,65.6504
10/13/2013,65.6504
10/14/2013,66.0804
10/15/2013,66.4321
10/16/2013,66.7563
10/17/2013,67.2074
10/18/2013,67.7922
10/19/2013,67.7922
10/20/2013,67.7922
10/21/2013,69.4537
10/22/2013,69.2546
10/23/2013,69.933
10/24/2013,70.8589
10/25/2013,70.066
10/26/2013,70.066
10/27/2013,70.066
10/28/2013,70.5879
10/29/2013,68.8297
10/30/2013,69.9245
10/31/2013,69.6322
11/1/2013,69.2762
11/2/2013,69.2762
11/3/2013,69.2762
11/4/2013,70.1715
11/5/2013,69.9981
11/6/2013,69.8
11/7/2013,68.6707
11/8/2013,69.7517
11/9/2013,69.7517
11/10/2013,69.7517
11/11/2013,69.5491
11/12/2013,69.678
11/13/2013,69.7616
11/14/2013,70.7701
11/15/2013,70.3455
11/16/2013,70.3455
11/17/2013,70.3455
11/18/2013,69.493
11/19/2013,69.6164
11/20/2013,69.0067
11/21/2013,69.8289
11/22/2013,69.6499
11/23/2013,69.6499
11/24/2013,69.6499
11/25/2013,70.1778
11/26/2013,71.4722
11/27/2013,73.1552
11/28/2013,73.1552
11/29/2013,74.5098
11/30/2013,74.5098
12/1/2013,74.5098
12/2/2013,73.8613
12/3/2013,75.8835
12/4/2013,75.7064
12/5/2013,76.0951
12/6/2013,75.0391
12/7/2013,75.0391
12/8/2013,75.0391
12/9/2013,75.898
12/10/2013,75.7801
12/11/2013,75.2187
12/12/2013,75.1088
12/13/2013,74.2901
12/14/2013,74.2901
12/15/2013,74.2901
12/16/2013,74.7015
12/17/2013,74.3651
12/18/2013,73.7997
12/19/2013,72.9542
12/20/2013,73.5652
12/21/2013,73.5652
12/22/2013,73.5652
12/23/2013,76.3884
12/24/2013,76.0642
12/25/2013,76.0642
12/26/2013,75.559
12/27/2013,75.0485
12/28/2013,75.0485
12/29/2013,75.0485
12/30/2013,74.3022
12/31/2013,75.1731
1/1/2014,75.1731
1/2/2014,74.1159
1/3/2014,72.4879
1/4/2014,72.4879
1/5/2014,72.4879
1/6/2014,72.8832
1/7/2014,72.3616
1/8/2014,72.8202
1/9/2014,71.8901
1/10/2014,71.4106
1/11/2014,71.4106
1/12/2014,71.4106
1/13/2014,71.7844
1/14/2014,73.2128
1/15/2014,74.6827
1/16/2014,74.266
1/17/2014,72.4463
1/18/2014,72.4463
1/19/2014,72.4463
1/20/2014,72.4463
1/21/2014,73.5719
1/22/2014,73.8988
1/23/2014,74.5246
1/24/2014,73.1699
1/25/2014,73.1699
1/26/2014,73.1699
1/27/2014,73.7635
1/28/2014,67.8678
1/29/2014,67.0973
1/30/2014,66.9676
1/31/2014,67.0772
2/1/2014,67.0772
2/2/2014,67.0772
2/3/2014,67.2018
2/4/2014,68.1746
2/5/2014,68.6838
2/6/2014,69.0841
2/7/2014,70.0506
2/8/2014,70.0506
2/9/2014,70.0506
2/10/2014,71.3056
2/11/2014,72.2451
2/12/2014,72.2397
2/13/2014,73.3868
2/14/2014,73.3275
2/15/2014,73.3275
2/16/2014,73.3275
2/17/2014,73.3275
2/18/2014,73.5971
2/19/2014,72.4352
2/20/2014,71.5967
2/21/2014,70.8014
2/22/2014,70.8014
2/23/2014,70.8014
2/24/2014,71.1115
2/25/2014,70.3714
2/26/2014,69.7366
2/27/2014,71.1276
2/28/2014,70.9349
3/1/2014,70.9349
3/2/2014,70.9349
3/3/2014,71.1398
3/4/2014,71.6089
3/5/2014,71.7598
3/6/2014,71.5428
3/7/2014,71.501
